price;usable_area;parking_lots;terrace;balcony;loggia;cellar;low_energy;easy_access;garage;elevator;material_brick;material_panel;Prague_1;Prague_2;Prague_3;Prague_4;Prague_5;Prague_6;Prague_7;Prague_8;Prague_9;floor_ground;floor_above_ground;status_good;status_very_good;status_after_reconstruction;kitchen_separately;nonresidential_unit;fully_furnished;partially_furnished,metadata,image,link
55000;60;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0,,,
18000;32;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0,,,
40000;126;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0,,,
16500;33;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1,,,
26000;79;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0,,,
19000;48;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1,,,
35000;52;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0,,,
23990;54;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1,,,
23100;55;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0,,,
24000;52;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0,,,
53000;102;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0,,,
17000;60;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0,,,
50800;124;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0,,,
35500;64;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0,,,
39000;116;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0,,,
20000;52;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0,,,
33000;38;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0,,,
55000;76;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0,,,
29500;79;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0,,,
20000;52;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1,,,
18000;42;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1,,,
